variable,units,mean,stdev,n,group,month,year,county,station,depth
Temperature,degrees Celsius,15.001,2.004,61098,county_month_year,8,2021,Digby,NA,NA
Dissolved Oxygen,percent saturation,95.939,4.441,12468,county_month_year,9,2021,Digby,NA,NA
Salinity,practical salinity units,18.892,1.707,3135,county_month_year,9,2021,Digby,NA,NA
Temperature,degrees Celsius,14.607,1.316,57384,county_month_year,9,2021,Digby,NA,NA
Dissolved Oxygen,percent saturation,98.196,4.688,13395,county_month_year,10,2021,Digby,NA,NA
Temperature,degrees Celsius,13.756,0.716,52829,county_month_year,10,2021,Digby,NA,NA
Dissolved Oxygen,percent saturation,96.984,3.095,11633,county_month_year,11,2021,Digby,NA,NA
Temperature,degrees Celsius,11.332,1.2,50265,county_month_year,11,2021,Digby,NA,NA
Dissolved Oxygen,percent saturation,96.478,3.199,13392,county_month_year,12,2021,Digby,NA,NA
Temperature,degrees Celsius,7.479,1.578,52824,county_month_year,12,2021,Digby,NA,NA
Dissolved Oxygen,percent saturation,98.178,2.493,13392,county_month_year,1,2022,Digby,NA,NA
Temperature,degrees Celsius,4.216,1.811,52824,county_month_year,1,2022,Digby,NA,NA
Dissolved Oxygen,percent saturation,100.864,2.932,12095,county_month_year,2,2022,Digby,NA,NA
Temperature,degrees Celsius,2.433,1.04,47711,county_month_year,2,2022,Digby,NA,NA
Dissolved Oxygen,percent saturation,103.05,2.784,12608,county_month_year,3,2022,Digby,NA,NA
Temperature,degrees Celsius,3.473,0.996,52824,county_month_year,3,2022,Digby,NA,NA
Dissolved Oxygen,percent saturation,103.934,2.833,8640,county_month_year,4,2022,Digby,NA,NA
Temperature,degrees Celsius,5.842,0.724,51120,county_month_year,4,2022,Digby,NA,NA
Dissolved Oxygen,percent saturation,106.155,3.82,8928,county_month_year,5,2022,Digby,NA,NA
Temperature,degrees Celsius,8.361,1.59,52824,county_month_year,5,2022,Digby,NA,NA
Dissolved Oxygen,percent saturation,103.932,4.147,3605,county_month_year,6,2022,Digby,NA,NA
Temperature,degrees Celsius,11.253,2.406,14486,county_month_year,6,2022,Digby,NA,NA
Temperature,degrees Celsius,17.511,1.335,4466,county_month_year,7,2022,Digby,NA,NA
Dissolved Oxygen,percent saturation,111.576,5.445,1969,county_month_year,8,2022,Digby,NA,NA
Temperature,degrees Celsius,18.487,1.157,3120,county_month_year,8,2022,Digby,NA,NA
Temperature,degrees Celsius,17.321,0.874,6384,county_month_year,9,2015,Guysborough,NA,NA
Temperature,degrees Celsius,13.689,1.771,8928,county_month_year,10,2015,Guysborough,NA,NA
Temperature,degrees Celsius,9.554,1.003,5250,county_month_year,11,2015,Guysborough,NA,NA
Temperature,degrees Celsius,5.834,0.773,744,county_month_year,12,2015,Guysborough,NA,NA
Temperature,degrees Celsius,3.08,0.817,744,county_month_year,1,2016,Guysborough,NA,NA
Temperature,degrees Celsius,1.121,0.341,696,county_month_year,2,2016,Guysborough,NA,NA
Temperature,degrees Celsius,1.062,0.155,744,county_month_year,3,2016,Guysborough,NA,NA
Temperature,degrees Celsius,1.697,0.431,720,county_month_year,4,2016,Guysborough,NA,NA
Temperature,degrees Celsius,3.614,0.627,253,county_month_year,5,2016,Guysborough,NA,NA
Temperature,degrees Celsius,12.461,2.111,6761,county_month_year,6,2016,Guysborough,NA,NA
Temperature,degrees Celsius,17.663,3.058,8928,county_month_year,7,2016,Guysborough,NA,NA
Temperature,degrees Celsius,20.052,0.902,8928,county_month_year,8,2016,Guysborough,NA,NA
Temperature,degrees Celsius,18.253,1.23,8640,county_month_year,9,2016,Guysborough,NA,NA
Temperature,degrees Celsius,13.685,1.796,8928,county_month_year,10,2016,Guysborough,NA,NA
Temperature,degrees Celsius,9.059,0.696,8640,county_month_year,11,2016,Guysborough,NA,NA
Temperature,degrees Celsius,4.216,1.926,8928,county_month_year,12,2016,Guysborough,NA,NA
Temperature,degrees Celsius,2.107,0.57,8928,county_month_year,1,2017,Guysborough,NA,NA
Temperature,degrees Celsius,0.436,0.766,8064,county_month_year,2,2017,Guysborough,NA,NA
Temperature,degrees Celsius,0.253,0.519,8928,county_month_year,3,2017,Guysborough,NA,NA
Temperature,degrees Celsius,2.395,1.684,8640,county_month_year,4,2017,Guysborough,NA,NA
Temperature,degrees Celsius,5.944,1.846,8928,county_month_year,5,2017,Guysborough,NA,NA
Temperature,degrees Celsius,11.016,2.68,8640,county_month_year,6,2017,Guysborough,NA,NA
Temperature,degrees Celsius,17.316,2.139,9416,county_month_year,7,2017,Guysborough,NA,NA
Temperature,degrees Celsius,20.14,0.842,11904,county_month_year,8,2017,Guysborough,NA,NA
Temperature,degrees Celsius,18.166,0.781,11520,county_month_year,9,2017,Guysborough,NA,NA
Temperature,degrees Celsius,15.192,1.33,11904,county_month_year,10,2017,Guysborough,NA,NA
Temperature,degrees Celsius,10.344,2.093,9871,county_month_year,11,2017,Guysborough,NA,NA
Temperature,degrees Celsius,5.231,2.129,8928,county_month_year,12,2017,Guysborough,NA,NA
Temperature,degrees Celsius,0.716,0.795,8928,county_month_year,1,2018,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,101.181,2.697,1467,county_month_year,2,2018,Guysborough,NA,NA
Temperature,degrees Celsius,0.44,0.275,11050,county_month_year,2,2018,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,101.228,2.248,34855,county_month_year,3,2018,Guysborough,NA,NA
Temperature,degrees Celsius,0.781,0.561,80309,county_month_year,3,2018,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,102.733,2.081,10484,county_month_year,4,2018,Guysborough,NA,NA
Temperature,degrees Celsius,1.914,1.146,76490,county_month_year,4,2018,Guysborough,NA,NA
Temperature,degrees Celsius,4.293,2.172,79565,county_month_year,5,2018,Guysborough,NA,NA
Temperature,degrees Celsius,6.909,2.302,79645,county_month_year,6,2018,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,112.712,1.994,7821,county_month_year,7,2018,Guysborough,NA,NA
Temperature,degrees Celsius,10.256,4.151,83108,county_month_year,7,2018,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,109.674,5.264,25614,county_month_year,8,2018,Guysborough,NA,NA
Temperature,degrees Celsius,15.347,4.414,125155,county_month_year,8,2018,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,105.721,3.17,29862,county_month_year,9,2018,Guysborough,NA,NA
Temperature,degrees Celsius,16.086,3.255,131831,county_month_year,9,2018,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,102.73,2.878,25055,county_month_year,10,2018,Guysborough,NA,NA
Temperature,degrees Celsius,11.747,3.021,138034,county_month_year,10,2018,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,101.455,2.371,27733,county_month_year,11,2018,Guysborough,NA,NA
Temperature,degrees Celsius,6.817,1.855,152266,county_month_year,11,2018,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,102.038,2.554,24022,county_month_year,12,2018,Guysborough,NA,NA
Temperature,degrees Celsius,3.285,0.954,164479,county_month_year,12,2018,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,102.02,4.045,23837,county_month_year,1,2019,Guysborough,NA,NA
Temperature,degrees Celsius,0.763,0.54,182624,county_month_year,1,2019,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,99.359,3.58,26747,county_month_year,2,2019,Guysborough,NA,NA
Salinity,practical salinity units,31.066,0.221,13330,county_month_year,2,2019,Guysborough,NA,NA
Temperature,degrees Celsius,-0.565,0.794,242573,county_month_year,2,2019,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,105.793,3.303,17736,county_month_year,3,2019,Guysborough,NA,NA
Salinity,practical salinity units,31.113,0.282,17491,county_month_year,3,2019,Guysborough,NA,NA
Temperature,degrees Celsius,-0.951,0.722,280420,county_month_year,3,2019,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,107.843,3.816,2522,county_month_year,4,2019,Guysborough,NA,NA
Salinity,practical salinity units,30.824,0.414,5004,county_month_year,4,2019,Guysborough,NA,NA
Temperature,degrees Celsius,0.756,0.942,300655,county_month_year,4,2019,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,107.162,2.251,4370,county_month_year,5,2019,Guysborough,NA,NA
Salinity,practical salinity units,30.966,0.248,4369,county_month_year,5,2019,Guysborough,NA,NA
Temperature,degrees Celsius,3.363,1.517,213248,county_month_year,5,2019,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,110.695,2.547,6862,county_month_year,6,2019,Guysborough,NA,NA
Salinity,practical salinity units,30.335,0.497,4229,county_month_year,6,2019,Guysborough,NA,NA
Temperature,degrees Celsius,6.484,2.596,192083,county_month_year,6,2019,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,111.567,3.441,17527,county_month_year,7,2019,Guysborough,NA,NA
Salinity,practical salinity units,29.989,0.375,4369,county_month_year,7,2019,Guysborough,NA,NA
Temperature,degrees Celsius,11.637,3.333,210152,county_month_year,7,2019,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,110.856,4.914,17768,county_month_year,8,2019,Guysborough,NA,NA
Salinity,practical salinity units,27.607,2.177,4370,county_month_year,8,2019,Guysborough,NA,NA
Temperature,degrees Celsius,15.586,3.635,169069,county_month_year,8,2019,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,106.1,4.437,21421,county_month_year,9,2019,Guysborough,NA,NA
Salinity,practical salinity units,21.047,1.443,4229,county_month_year,9,2019,Guysborough,NA,NA
Temperature,degrees Celsius,14.021,3.171,161554,county_month_year,9,2019,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,103.825,4.053,28471,county_month_year,10,2019,Guysborough,NA,NA
Salinity,practical salinity units,17.364,0.88,4370,county_month_year,10,2019,Guysborough,NA,NA
Temperature,degrees Celsius,11.495,0.646,164632,county_month_year,10,2019,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,102.153,3.967,25725,county_month_year,11,2019,Guysborough,NA,NA
Salinity,practical salinity units,17.744,0.563,4229,county_month_year,11,2019,Guysborough,NA,NA
Temperature,degrees Celsius,8.634,1.311,157227,county_month_year,11,2019,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,102.104,3.903,26592,county_month_year,12,2019,Guysborough,NA,NA
Salinity,practical salinity units,18.11,0.571,4370,county_month_year,12,2019,Guysborough,NA,NA
Temperature,degrees Celsius,4.7,1.177,159874,county_month_year,12,2019,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,103.915,3.84,24869,county_month_year,1,2020,Guysborough,NA,NA
Salinity,practical salinity units,18.449,0.257,4370,county_month_year,1,2020,Guysborough,NA,NA
Temperature,degrees Celsius,1.604,0.861,158405,county_month_year,1,2020,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,105.332,4.612,20241,county_month_year,2,2020,Guysborough,NA,NA
Salinity,practical salinity units,18.968,0.23,3345,county_month_year,2,2020,Guysborough,NA,NA
Temperature,degrees Celsius,0.114,0.555,196809,county_month_year,2,2020,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,105.486,3.894,39463,county_month_year,3,2020,Guysborough,NA,NA
Temperature,degrees Celsius,0.161,0.579,311842,county_month_year,3,2020,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,108.451,6.644,25719,county_month_year,4,2020,Guysborough,NA,NA
Temperature,degrees Celsius,1.186,0.919,194910,county_month_year,4,2020,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,105.135,7.532,14450,county_month_year,5,2020,Guysborough,NA,NA
Salinity,practical salinity units,31.528,0.149,1622,county_month_year,5,2020,Guysborough,NA,NA
Temperature,degrees Celsius,3.149,1.529,186868,county_month_year,5,2020,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,98.671,9.621,5690,county_month_year,6,2020,Guysborough,NA,NA
Salinity,practical salinity units,31.194,0.45,4320,county_month_year,6,2020,Guysborough,NA,NA
Temperature,degrees Celsius,6.233,2.9,185090,county_month_year,6,2020,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,97.57,12.182,6422,county_month_year,7,2020,Guysborough,NA,NA
Salinity,practical salinity units,29.891,0.545,4463,county_month_year,7,2020,Guysborough,NA,NA
Temperature,degrees Celsius,10.163,4.247,175138,county_month_year,7,2020,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,104.846,11.876,12796,county_month_year,8,2020,Guysborough,NA,NA
Salinity,practical salinity units,30.06,0.525,4464,county_month_year,8,2020,Guysborough,NA,NA
Temperature,degrees Celsius,13.288,5.014,168900,county_month_year,8,2020,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,103.337,8.352,25395,county_month_year,9,2020,Guysborough,NA,NA
Salinity,practical salinity units,24.745,2.212,4320,county_month_year,9,2020,Guysborough,NA,NA
Temperature,degrees Celsius,14.933,3.41,173322,county_month_year,9,2020,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,99.96,6.572,37144,county_month_year,10,2020,Guysborough,NA,NA
Salinity,practical salinity units,21.468,1.37,4465,county_month_year,10,2020,Guysborough,NA,NA
Temperature,degrees Celsius,11.758,2.79,183083,county_month_year,10,2020,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,99.21,4.368,43202,county_month_year,11,2020,Guysborough,NA,NA
Salinity,practical salinity units,21.839,0.378,4320,county_month_year,11,2020,Guysborough,NA,NA
Temperature,degrees Celsius,8.898,1.241,188643,county_month_year,11,2020,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,100.189,5.116,42280,county_month_year,12,2020,Guysborough,NA,NA
Salinity,practical salinity units,20.949,0.364,4464,county_month_year,12,2020,Guysborough,NA,NA
Temperature,degrees Celsius,6.254,1.141,194933,county_month_year,12,2020,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,102.406,2.852,37819,county_month_year,1,2021,Guysborough,NA,NA
Salinity,practical salinity units,20.359,0.294,4464,county_month_year,1,2021,Guysborough,NA,NA
Temperature,degrees Celsius,3.538,0.68,194932,county_month_year,1,2021,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,103.309,3.395,30906,county_month_year,2,2021,Guysborough,NA,NA
Salinity,practical salinity units,19.425,0.483,4032,county_month_year,2,2021,Guysborough,NA,NA
Temperature,degrees Celsius,1.711,0.631,176067,county_month_year,2,2021,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,103.094,5.111,16882,county_month_year,3,2021,Guysborough,NA,NA
Salinity,practical salinity units,18.172,0.457,4464,county_month_year,3,2021,Guysborough,NA,NA
Temperature,degrees Celsius,0.969,0.528,194933,county_month_year,3,2021,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,99.063,10.416,6626,county_month_year,4,2021,Guysborough,NA,NA
Salinity,practical salinity units,16.236,0.557,4319,county_month_year,4,2021,Guysborough,NA,NA
Temperature,degrees Celsius,2.474,1.033,188643,county_month_year,4,2021,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,100.531,11.84,8929,county_month_year,5,2021,Guysborough,NA,NA
Salinity,practical salinity units,15.863,0.272,4464,county_month_year,5,2021,Guysborough,NA,NA
Temperature,degrees Celsius,4.533,1.573,194932,county_month_year,5,2021,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,101.883,10.948,8642,county_month_year,6,2021,Guysborough,NA,NA
Salinity,practical salinity units,16.622,0.488,4320,county_month_year,6,2021,Guysborough,NA,NA
Temperature,degrees Celsius,6.659,2.708,185461,county_month_year,6,2021,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,93.455,12.629,7275,county_month_year,7,2021,Guysborough,NA,NA
Salinity,practical salinity units,17.239,0.192,4464,county_month_year,7,2021,Guysborough,NA,NA
Temperature,degrees Celsius,10.811,3.355,190465,county_month_year,7,2021,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,96.496,17.36,9667,county_month_year,8,2021,Guysborough,NA,NA
Salinity,practical salinity units,15.994,0.858,4464,county_month_year,8,2021,Guysborough,NA,NA
Temperature,degrees Celsius,13.274,4.258,193580,county_month_year,8,2021,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,97.097,13.169,29643,county_month_year,9,2021,Guysborough,NA,NA
Salinity,practical salinity units,26.386,7.309,7596,county_month_year,9,2021,Guysborough,NA,NA
Temperature,degrees Celsius,15.62,3.699,198668,county_month_year,9,2021,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,94.529,9.95,39606,county_month_year,10,2021,Guysborough,NA,NA
Salinity,practical salinity units,30.321,0.298,8928,county_month_year,10,2021,Guysborough,NA,NA
Temperature,degrees Celsius,14.185,2.466,209069,county_month_year,10,2021,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,95.647,10.096,34532,county_month_year,11,2021,Guysborough,NA,NA
Salinity,practical salinity units,29.34,0.836,8640,county_month_year,11,2021,Guysborough,NA,NA
Temperature,degrees Celsius,9.966,1.774,202293,county_month_year,11,2021,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,95.585,9.267,28804,county_month_year,12,2021,Guysborough,NA,NA
Salinity,practical salinity units,28.473,1.198,8928,county_month_year,12,2021,Guysborough,NA,NA
Temperature,degrees Celsius,5.671,1.423,204605,county_month_year,12,2021,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,98.341,8.418,26790,county_month_year,1,2022,Guysborough,NA,NA
Salinity,practical salinity units,28.02,1.17,8928,county_month_year,1,2022,Guysborough,NA,NA
Temperature,degrees Celsius,2.676,0.961,199993,county_month_year,1,2022,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,99.892,11.283,24195,county_month_year,2,2022,Guysborough,NA,NA
Salinity,practical salinity units,27.206,1.47,8063,county_month_year,2,2022,Guysborough,NA,NA
Temperature,degrees Celsius,1.645,0.523,176740,county_month_year,2,2022,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,97.733,11.412,15119,county_month_year,3,2022,Guysborough,NA,NA
Salinity,practical salinity units,26.247,1.479,8928,county_month_year,3,2022,Guysborough,NA,NA
Temperature,degrees Celsius,1.114,0.565,195094,county_month_year,3,2022,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,96.263,13.033,9652,county_month_year,4,2022,Guysborough,NA,NA
Salinity,practical salinity units,24.126,1.342,5460,county_month_year,4,2022,Guysborough,NA,NA
Temperature,degrees Celsius,1.948,1.155,185470,county_month_year,4,2022,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,93.454,14.396,8930,county_month_year,5,2022,Guysborough,NA,NA
Salinity,practical salinity units,22.671,0.467,4464,county_month_year,5,2022,Guysborough,NA,NA
Temperature,degrees Celsius,4.517,2.301,186142,county_month_year,5,2022,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,80.88,10.847,4688,county_month_year,6,2022,Guysborough,NA,NA
Salinity,practical salinity units,20.783,1.255,4320,county_month_year,6,2022,Guysborough,NA,NA
Temperature,degrees Celsius,7.516,3.283,176405,county_month_year,6,2022,Guysborough,NA,NA
Dissolved Oxygen,percent saturation,76.82,6.087,3863,county_month_year,7,2022,Guysborough,NA,NA
Salinity,practical salinity units,18.873,0.746,4464,county_month_year,7,2022,Guysborough,NA,NA
Temperature,degrees Celsius,9.807,4.537,168510,county_month_year,7,2022,Guysborough,NA,NA
Salinity,practical salinity units,21.133,0.741,4464,county_month_year,8,2022,Guysborough,NA,NA
Temperature,degrees Celsius,16.722,4.927,66192,county_month_year,8,2022,Guysborough,NA,NA
Salinity,practical salinity units,20.052,0.498,1698,county_month_year,9,2022,Guysborough,NA,NA
Temperature,degrees Celsius,17.773,3.956,26418,county_month_year,9,2022,Guysborough,NA,NA
